,No,B.Mudurluk,I.Mudurluk,I.Seflik,Il,Ilce,Day,Month,Year,Time,AnaNeden,TaliNeden,YananOrtu,YananTepe,YananAlan,Sicaklik,Dogu,Kuzey,Lon,Lat
9482,9482,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,4,8,2013,15:30,Ihmal Dikkatsizlik,Coban Atesi,0,0,0,23,33 35 03,41 27 44,33.58416667,41.46222222
9483,9483,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,28,8,2013,15:00,Ihmal Dikkatsizlik,Piknik Atesi,0.01,0,0.01,25,33 48 34,41 24 48,33.80944444,41.41333333
9484,9484,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,2,9,2013,14:10,Dogal Yildirim,Dogal/Yildirim,0.02,0,0.02,17,33 32 58,41 21 41,33.54944444,41.36138889
9485,9485,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,3,9,2013,13:15,Dogal Yildirim,Dogal/Yildirim,0.8,0,0.8,23,33 36 19,41 23 18,33.60527778,41.38833333
9486,9486,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,22,9,2013,11:30,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,15,33 45 53,41 24 48,33.76472222,41.41333333
9487,9487,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,26,9,2013,15:15,Dogal Yildirim,Dogal/Yildirim,1.1,0,1.1,26,33 34 10,41 23 26,33.56944444,41.39055556
9488,9488,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,5,4,2014,13:15,Dogal Yildirim,Dogal/Yildirim,1,0,1,18,33 34 14,41 24 45,33.57055556,41.4125
9489,9489,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,24,7,2014,12:40,Mechul,Mechul,1,0,1,22,33 40 07,41 25 26,33.66861111,41.42388889
9490,9490,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,28,7,2014,17:00,Mechul,Mechul,0.03,0,0.03,30,33 59 57,41 36 13,33.99916667,41.60361111
9491,9491,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,20,8,2014,14:30,Mechul,Mechul,0.03,0,0.03,29,33 36 30,41 24 10,33.60833333,41.40277778
9492,9492,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,3,9,2014,15:00,Mechul,Mechul,0.1,0,0.1,33,33 44 51,41 25 56,33.7475,41.43222222
9493,9493,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,22,8,2015,19:30,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,19,33 44 00,41 21 52,33.73333333,41.36444444
9494,9494,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,29,3,2016,19:00,Ihmal Dikkatsizlik,Piknik Atesi,0.01,0,0.01,8,33 46 02,41 25 07,33.76722222,41.41861111
9495,9495,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,23,8,2016,14:30,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,30,33 36 59,41 21 56,33.61638889,41.36555556
9496,9496,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,23,8,2016,20:30,Dogal Yildirim,Dogal/Yildirim,0.15,0,0.15,17,33 39 18,41 25 18,33.655,41.42166667
9497,9497,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,29,10,2016,23:00,Mechul,Mechul,0.01,0,0.01,9,33 37 45,41 23 15,33.62916667,41.3875
9498,9498,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,28,11,2016,17:00,Dogal Yildirim,Dogal/Yildirim,0.2,0,0.2,12,33 39 26,41 23 37,33.65722222,41.39361111
9499,9499,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,13,9,2017,15:00,Mechul,Mechul,0.5,0,0.5,29,33 37 59,41 23 18,33.63305556,41.38833333
9500,9500,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,13,9,2017,19:15,Mechul,Mechul,1.9,0,1.9,29,33 34 49,41 25 56,33.58027778,41.43222222
9501,9501,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,18,9,2017,17:00,Dogal Yildirim,Dogal/Yildirim,4.5,0.5,5,30,33 34 03,41 20 48,33.5675,41.34666667
9502,9502,KASTAMONU,KASTAMONU,KASTAMONU,Kastamonu,Merkez,19,9,2017,21:00,Dogal Yildirim,Dogal/Yildirim,0.5,0,0.5,19,33 45 48,41 24 07,33.76333333,41.40194444
9503,9503,KASTAMONU,KASTAMONU,KUZYAKA,Kastamonu,Ihsangazi,8,7,2013,20:30,Ihmal Dikkatsizlik,Coban Atesi,0.06,0,0.06,20,33 37 30,41 08 07,33.625,41.13527778
9504,9504,KASTAMONU,KASTAMONU,KUZYAKA,Kastamonu,Merkez,30,9,2013,17:00,Mechul,Mechul,0.04,0,0.04,23,33 38 51,41 10 41,33.6475,41.17805556
9505,9505,KASTAMONU,KASTAMONU,KUZYAKA,Kastamonu,Merkez,13,11,2013,15:00,Mechul,Mechul,1,0,1,13,33 46 53,41 09 02,33.78138889,41.15055556
9506,9506,KASTAMONU,KASTAMONU,KUZYAKA,Kastamonu,Merkez,1,8,2014,13:00,Mechul,Mechul,0.05,0,0.05,32,33 38 35,41 08 02,33.64305556,41.13388889
9507,9507,KASTAMONU,KASTAMONU,KUZYAKA,Kastamonu,Merkez,24,8,2016,15:30,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,23,33 38 21,41 10 37,33.63916667,41.17694444
9508,9508,KASTAMONU,KASTAMONU,KUZYAKA,Kastamonu,Merkez,22,10,2016,14:30,Mechul,Mechul,0.1,0,0.1,18,33 38 54,41 10 37,33.64833333,41.17694444
9509,9509,KASTAMONU,KASTAMONU,KUZYAKA,Kastamonu,Merkez,24,5,2017,15:45,Mechul,Mechul,0.01,0,0.01,21,33 45 37,41 12 35,33.76027778,41.20972222
9510,9510,KASTAMONU,KASTAMONU,KUZYAKA,Kastamonu,Merkez,8,9,2017,16:00,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,23,33 43 11,41 08 54,33.71972222,41.14833333
9511,9511,KASTAMONU,KASTAMONU,KUZYAKA,Kastamonu,Merkez,9,9,2017,15:30,Mechul,Mechul,0.01,0,0.01,30,33 37 38,41 33 07,33.62722222,41.55194444
9512,9512,KASTAMONU,KASTAMONU,KUZYAKA,Kastamonu,Merkez,16,9,2017,16:00,Mechul,Mechul,0.02,0,0.02,31,33 37 46,41 08 51,33.62944444,41.1475
9513,9513,KASTAMONU,KURE,AGLI,Kastamonu,Seydiler,20,8,2013,13:00,Mechul,Mechul,1,0,1,28,31 07 27,41 05 13,31.12416667,41.08694444
9514,9514,KASTAMONU,KURE,AGLI,Kastamonu,Agili,3,4,2017,13:20,Mechul,Mechul,3.5,0,3.5,18,33 33 26,41 37 57,33.55722222,41.6325
9515,9515,KASTAMONU,KURE,DEVREKANI,Kastamonu,Kure,15,8,2013,13:00,Mechul,Mechul,0.1,0,0.1,28,34 02 07,41 42 11,34.03527778,41.70305556
9516,9516,KASTAMONU,KURE,DEVREKANI,Kastamonu,Devrekani,31,7,2014,19:00,Mechul,Mechul,0,0,0,21,34 06 57,41 33 45,34.11583333,41.5625
9517,9517,KASTAMONU,KURE,DEVREKANI,Kastamonu,Kure,29,8,2015,13:25,Mechul,Mechul,0.01,0,0.01,26,33 46 32,41 39 02,33.77555556,41.65055556
9518,9518,KASTAMONU,KURE,DEVREKANI,Kastamonu,Devrekani,30,8,2015,13:40,Mechul,Mechul,1.5,0,1.5,18,33 47 53,41 39 48,33.79805556,41.66333333
9519,9519,KASTAMONU,KURE,DEVREKANI,Kastamonu,Kure,26,7,2016,17:30,Mechul,Mechul,0.01,0,0.01,28,33 46 43,41 39 21,33.77861111,41.65583333
9520,9520,KASTAMONU,KURE,DEVREKANI,Kastamonu,Devrekani,7,8,2017,14:20,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,33,33 53 26,41 40 18,33.89055556,41.67166667
9521,9521,KASTAMONU,KURE,DEVREKANI,Kastamonu,Devrekani,5,10,2017,16:00,Mechul,Mechul,0.5,0,0.5,20,34 06 27,41 43 43,34.1075,41.72861111
9522,9522,KASTAMONU,KURE,KOSRELI,Kastamonu,Kure,12,9,2017,17:45,Mechul,Mechul,0.03,0,0.03,24,33 32 26,41 50 46,33.54055556,41.84611111
9523,9523,KASTAMONU,KURE,KURE,Kastamonu,Kure,19,9,2017,16:55,Dogal Yildirim,Dogal/Yildirim,1.5,0.5,2,31,33 38 43,41 45 35,33.64527778,41.75972222
9524,9524,KASTAMONU,KURE,SENLIK,Kastamonu,Kure,11,8,2014,12:00,Mechul,Mechul,0.01,0,0.01,27,33 43 03,41 41 01,33.7175,41.68361111
9525,9525,KASTAMONU,KURE,SENLIK,Kastamonu,Kure,11,9,2015,13:45,Mechul,Mechul,0.02,0,0.02,31,33 55 56,41 43 16,33.93222222,41.72111111
9526,9526,KASTAMONU,KURE,SENLIK,Kastamonu,Kure,3,8,2016,13:45,Mechul,Mechul,0.02,0,0.02,30,33 50 19,41 44 24,33.83861111,41.74
9527,9527,KASTAMONU,PINARBASI,COME,Kastamonu,Pinarbasi,3,4,2016,13:00,Ihmal Dikkatsizlik,Coban Atesi,1.4,0,1.4,14,32 57 30,41 36 13,32.95833333,41.60361111
9528,9528,KASTAMONU,PINARBASI,COME,Kastamonu,Pinarbasi,6,4,2016,13:45,Mechul,Mechul,0.2,0,0.2,20,32 55 45,41 37 05,32.92916667,41.61805556
9529,9529,KASTAMONU,PINARBASI,COME,Kastamonu,Pinarbasi,18,11,2017,15:45,Mechul,Mechul,1.2,0,1.2,12,32 51 00,41 35 40,32.85,41.59444444
9530,9530,KASTAMONU,PINARBASI,KURTGIRMEZ,Kastamonu,Pinarbasi,4,2,2014,18:00,Mechul,Mechul,0.5,0,0.5,3,33 06 16,41 35 41,33.10444444,41.59472222
9531,9531,KASTAMONU,PINARBASI,KURTGIRMEZ,Kastamonu,Pinarbasi,8,3,2017,15:15,Mechul,Mechul,3.5,0,3.5,15,33 09 10,41 37 08,33.15277778,41.61888889
9532,9532,KASTAMONU,SAMATLAR,AKSUDERE,Kastamonu,Arac,29,7,2013,03:20,Mechul,Mechul,0.03,0,0.03,9,33 03 26,41 14 54,33.05722222,41.24833333
9533,9533,KASTAMONU,SAMATLAR,AKSUDERE,Kastamonu,Arac,11,9,2013,14:40,Dogal Yildirim,Dogal/Yildirim,0.63,0,0.63,26,32 58 03,41 16 18,32.9675,41.27166667
9534,9534,KASTAMONU,SAMATLAR,AKSUDERE,Kastamonu,Arac,18,8,2015,15:15,Mechul,Mechul,0.2,0,0.2,30,32 56 03,41 12 22,32.93416667,41.20611111
9535,9535,KASTAMONU,SAMATLAR,AKSUDERE,Kastamonu,Arac,6,4,2016,12:15,Mechul,Mechul,0.5,0,0.5,20,33 02 56,41 16 59,33.04888889,41.28305556
9536,9536,KASTAMONU,SAMATLAR,AKSUDERE,Kastamonu,Arac,14,7,2016,14:00,Ihmal Dikkatsizlik,Piknik Atesi,0.01,0,0.01,32,33 03 53,41 14 59,33.06472222,41.24972222
9537,9537,KASTAMONU,SAMATLAR,AKSUDERE,Kastamonu,Arac,2,8,2016,20:30,Dogal Yildirim,Dogal/Yildirim,0.02,0,0.02,35,33 10 56,41 18 30,33.18222222,41.30833333
9538,9538,KASTAMONU,SAMATLAR,AKSUDERE,Kastamonu,Arac,8,8,2017,09:45,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,35,33 08 45,41 16 40,33.14583333,41.27777778
9539,9539,KASTAMONU,SAMATLAR,AKSUDERE,Kastamonu,Arac,8,9,2017,14:20,Dogal Yildirim,Dogal/Yildirim,0.02,0,0.02,23,33 04 15,41 14 19,33.07083333,41.23861111
9540,9540,KASTAMONU,SAMATLAR,DORUKYAYLA,Kastamonu,Arac,7,9,2013,16:30,Dogal Yildirim,Dogal/Yildirim,0.04,0,0.04,19,33 08 59,41 21 27,33.14972222,41.3575
9541,9541,KASTAMONU,SAMATLAR,DORUKYAYLA,Kastamonu,Arac,12,9,2013,13:30,Dogal Yildirim,Dogal/Yildirim,0.03,0,0.03,26,33 09 24,41 21 18,33.15666667,41.355
9542,9542,KASTAMONU,SAMATLAR,DORUKYAYLA,Kastamonu,Arac,10,10,2013,17:00,Mechul,Mechul,0.05,0,0.05,16,33 12 36,41 21 34,33.21,41.35944444
9543,9543,KASTAMONU,SAMATLAR,DORUKYAYLA,Kastamonu,Arac,5,11,2013,14:00,Mechul,Mechul,0.2,0,0.2,15,33 09 59,41 21 51,33.16638889,41.36416667
9544,9544,KASTAMONU,SAMATLAR,DORUKYAYLA,Kastamonu,Arac,10,11,2013,16:29,Mechul,Mechul,0.08,0,0.08,0,33 09 48,41 21 08,33.16333333,41.35222222
9545,9545,KASTAMONU,SAMATLAR,DORUKYAYLA,Kastamonu,Arac,26,7,2015,18:30,Mechul,Mechul,0.05,0,0.05,27,33 09 21,41 21 19,33.15583333,41.35527778
9546,9546,KASTAMONU,SAMATLAR,DORUKYAYLA,Kastamonu,Arac,28,7,2015,16:45,Mechul,Mechul,0.1,0,0.1,30,33 05 46,41 20 28,33.09611111,41.34111111
9547,9547,KASTAMONU,SAMATLAR,IGDIR,Kastamonu,Arac,31,3,2013,16:00,Mechul,-,0.01,0,0.01,22,33 05 59,44 13 35,33.09972222,44.22638889
9548,9548,KASTAMONU,SAMATLAR,IGDIR,Kastamonu,Arac,1,4,2014,13:30,Mechul,Mechul,0.7,0,0.7,17,33 10 07,41 10 37,33.16861111,41.17694444
9549,9549,KASTAMONU,SAMATLAR,IGDIR,Kastamonu,Arac,29,7,2015,07:00,Mechul,Mechul,0.03,0,0.03,25,33 05 41,41 12 10,33.09472222,41.20277778
9550,9550,KASTAMONU,SAMATLAR,IGDIR,Kastamonu,Arac,10,8,2017,14:45,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,32,33 10 56,41 09 37,33.18222222,41.16027778
9551,9551,KASTAMONU,SAMATLAR,KARTALSUYU,Kastamonu,Arac,29,8,2013,13:50,Mechul,Mechul,0.06,0,0.06,27,33 05 00,41 07 59,33.08333333,41.13305556
9552,9552,KASTAMONU,SAMATLAR,KARTALSUYU,Kastamonu,Arac,8,9,2013,14:30,Mechul,Mechul,1.5,0,1.5,21,32 56 01,41 10 56,32.93361111,41.18222222
9553,9553,KASTAMONU,SAMATLAR,KARTALSUYU,Kastamonu,Arac,10,9,2013,16:30,Mechul,Mechul,0.5,0,0.5,24,32 56 07,41 10 56,32.93527778,41.18222222
9554,9554,KASTAMONU,SINOP,AHMETYERI,Sinop,Merkez,17,2,2014,12:30,Ihmal Dikkatsizlik,Aniz,1.5,0,1.5,15,34 56 21,41 44 30,34.93916667,41.74166667
9555,9555,KASTAMONU,SINOP,BEKTASAGA,Sinop,Erfelek,4,8,2017,23:30,Mechul,Mechul,1,0,1,22,34 53 16,41 57 55,34.88777778,41.96527778
9556,9556,KASTAMONU,SINOP,BEKTASAGA,Sinop,Merkez,15,9,2017,13:00,Mechul,Mechul,0.5,0,0.5,26,35 00 32,41 00 15,35.00888889,41.00416667
9557,9557,KASTAMONU,SINOP,DIRANAS,Sinop,Erfelek,9,11,2016,16:00,Mechul,Mechul,0.5,0,0.5,17,34 50 25,41 52 10,34.84027778,41.86944444
9558,9558,KASTAMONU,SINOP,ERFELEK,Sinop,Erfelek,18,8,2014,15:15,Ihmal Dikkatsizlik,Aniz,0.7,0,0.7,27,34 49 48,41 53 02,34.83,41.88388889
9559,9559,KASTAMONU,SINOP,ERFELEK,Sinop,Erfelek,3,9,2014,17:00,Ihmal Dikkatsizlik,Aniz,0.5,0,0.5,29,34 55 56,41 52 27,34.93222222,41.87416667
9560,9560,KASTAMONU,SINOP,INCEBURUN,Sinop,Erfelek,12,7,2013,15:00,Mechul,Mechul,0.5,0,0.5,27,34 53 37,42 00 24,34.89361111,42.00666667
9561,9561,KASTAMONU,SINOP,INCEBURUN,Sinop,Erfelek,1,8,2014,17:50,Mechul,Mechul,0.1,0,0.1,26,34 51 48,41 58 16,34.86333333,41.97111111
9562,9562,KASTAMONU,SINOP,SINOP,Sinop,Merkez,21,7,2016,02:30,Mechul,Mechul,0.5,0,0.5,20,35 03 53,42 00 26,35.06472222,42.00722222
9563,9563,KASTAMONU,SINOP,SINOP,Sinop,Merkez,29,7,2017,16:30,Mechul,Mechul,0.5,0,0.5,23,35 11 16,42 01 10,35.18777778,42.01944444
9564,9564,KASTAMONU,TASKOPRU,BAYAM,Kastamonu,Taskopru,15,3,2013,13:30,Dogal Yildirim,-,0.1,0,0.1,0,34 19 08,41 28 16,34.31888889,41.47111111
9565,9565,KASTAMONU,TASKOPRU,BAYAM,Kastamonu,Taskopru,11,7,2013,12:00,Mechul,Mechul,0.01,0,0.01,28,34 25 26,41 31 21,34.42388889,41.5225
9566,9566,KASTAMONU,TASKOPRU,BAYAM,Kastamonu,Taskopru,29,3,2016,17:00,Mechul,Mechul,0.7,0,0.7,11,34 21 18,41 28 19,34.355,41.47194444
9567,9567,KASTAMONU,TASKOPRU,BAYAM,Kastamonu,Taskopru,2,4,2017,13:00,Mechul,Mechul,2.7,0,2.7,18,34 18 07,41 30 51,34.30194444,41.51416667
9568,9568,KASTAMONU,TASKOPRU,CIFTLIK,Kastamonu,Taskopru,7,9,2013,16:00,Dogal Yildirim,Dogal/Yildirim,0.04,0,0.04,24,34 16 37,41 16 05,34.27694444,41.26805556
9569,9569,KASTAMONU,TASKOPRU,CIFTLIK,Kastamonu,Taskopru,25,4,2015,17:10,Mechul,Mechul,1,0,1,19,34 12 27,41 17 18,34.2075,41.28833333
9570,9570,KASTAMONU,TASKOPRU,DIKMEN,Kastamonu,Taskopru,21,3,2013,20:00,Mechul,-,2,0,2,0,45 50 07,61 24 37,45.83527778,61.41027778
9571,9571,KASTAMONU,TASKOPRU,DIKMEN,Kastamonu,Taskopru,22,7,2014,15:00,Dogal Yildirim,Dogal/Yildirim,0.05,0,0.05,30,34 25 30,41 18 27,34.425,41.3075
9572,9572,KASTAMONU,TASKOPRU,DIKMEN,Kastamonu,Taskopru,3,8,2014,11:00,Dogal Yildirim,Dogal/Yildirim,0.03,0,0.03,0,34 26 15,41 20 27,34.4375,41.34083333
9573,9573,KASTAMONU,TASKOPRU,DIKMEN,Kastamonu,Taskopru,11,10,2014,13:30,Kaza,Elektrik,0.05,0,0.05,17,33 23 02,41 22 45,33.38388889,41.37916667
9574,9574,KASTAMONU,TASKOPRU,DUZDAG,Kastamonu,Taskopru,27,7,2013,14:45,Mechul,Mechul,0.01,0,0.01,0,34 10 15,41 39 53,34.17083333,41.66472222
9575,9575,KASTAMONU,TASKOPRU,DUZDAG,Kastamonu,Taskopru,10,10,2013,15:00,Mechul,Mechul,0.5,0,0.5,23,34 10 37,41 41 41,34.17694444,41.69472222
9576,9576,KASTAMONU,TASKOPRU,DUZDAG,Kastamonu,Taskopru,5,4,2014,16:00,Mechul,Mechul,0.1,0,0.1,19,34 08 48,41 40 56,34.14666667,41.68222222
9577,9577,KASTAMONU,TASKOPRU,DUZDAG,Kastamonu,Taskopru,6,9,2014,15:00,Mechul,Mechul,0.05,0,0.05,31,34 11 16,41 37 02,34.18777778,41.61722222
9578,9578,KASTAMONU,TASKOPRU,DUZDAG,Kastamonu,Taskopru,24,7,2015,15:10,Mechul,Mechul,0.02,0,0.02,33,34 12 27,41 37 05,34.2075,41.61805556
9579,9579,KASTAMONU,TASKOPRU,DUZDAG,Kastamonu,Taskopru,24,4,2016,17:45,Dogal Yildirim,Dogal/Yildirim,0.03,0,0.03,21,34 07 56,41 42 19,34.13222222,41.70527778
9580,9580,KASTAMONU,TASKOPRU,DUZDAG,Kastamonu,Taskopru,10,11,2016,15:00,Dogal Yildirim,Dogal/Yildirim,0.2,0,0.2,19,34 11 19,41 43 34,34.18861111,41.72611111
9581,9581,KASTAMONU,TASKOPRU,DUZDAG,Kastamonu,Taskopru,8,9,2017,14:00,Mechul,Mechul,0.04,0,0.04,20,34 12 22,41 39 34,34.20611111,41.65944444
9582,9582,KASTAMONU,TASKOPRU,KARATEPE,Kastamonu,Taskopru,7,7,2013,15:00,Mechul,Mechul,0.4,0,0.4,29,34 05 54,41 24 45,34.09833333,41.4125
9583,9583,KASTAMONU,TASKOPRU,KARATEPE,Kastamonu,Taskopru,5,8,2014,18:30,Dogal Yildirim,Dogal/Yildirim,0.03,0,0.03,28,34 01 37,41 23 35,34.02694444,41.39305556
9584,9584,KASTAMONU,TASKOPRU,KARATEPE,Kastamonu,Taskopru,29,8,2015,14:30,Mechul,Mechul,0.1,0,0.1,27,33 59 59,41 25 56,33.99972222,41.43222222
9585,9585,KASTAMONU,TASKOPRU,KARATEPE,Kastamonu,Taskopru,17,3,2016,15:30,Mechul,Mechul,0.2,0,0.2,11,34 10 37,41 27 01,34.17694444,41.45027778
9586,9586,KASTAMONU,TASKOPRU,KARATEPE,Kastamonu,Taskopru,17,4,2016,15:20,Dogal Yildirim,Dogal/Yildirim,1.5,0,1.5,25,34 09 59,41 35 22,34.16638889,41.58944444
9587,9587,KASTAMONU,TASKOPRU,KARATEPE,Kastamonu,Taskopru,19,4,2016,17:30,Dogal Yildirim,Dogal/Yildirim,0.2,0,0.2,27,34 09 59,41 35 22,34.16638889,41.58944444
9588,9588,KASTAMONU,TASKOPRU,KARATEPE,Kastamonu,Taskopru,23,8,2016,16:20,Mechul,Mechul,0.07,0,0.07,29,34 07 02,41 23 02,34.11722222,41.38388889
9589,9589,KASTAMONU,TASKOPRU,KARATEPE,Kastamonu,Taskopru,10,11,2016,12:30,Mechul,Mechul,2,0,2,19,33 54 56,41 23 24,33.91555556,41.39
9590,9590,KASTAMONU,TASKOPRU,KARATEPE,Kastamonu,Merkez,2,4,2017,13:30,Mechul,Mechul,12,2,14,18,33 55 56,41 23 48,33.93222222,41.39666667
9591,9591,KASTAMONU,TASKOPRU,KARATEPE,Kastamonu,Taskopru,9,8,2017,15:20,Dogal Yildirim,Dogal/Yildirim,0.4,0.1,0.5,33,33 59 57,41 24 45,33.99916667,41.4125
9592,9592,KASTAMONU,TASKOPRU,KARATEPE,Kastamonu,Taskopru,10,8,2017,16:20,Kaza,Elektrik,1.5,0.5,2,28,34 15 10,41 26 35,34.25277778,41.44305556
9593,9593,KASTAMONU,TASKOPRU,KIRKCAM,Kastamonu,Taskopru,1,4,2014,14:15,Mechul,Mechul,2.5,0,2.5,8,34 14 21,41 20 19,34.23916667,41.33861111
9594,9594,KASTAMONU,TASKOPRU,KOCANLI,Kastamonu,Taskopru,31,7,2013,15:00,Mechul,Mechul,0,0,0,26,34 07 59,41 13 00,34.13305556,41.21666667
9595,9595,KASTAMONU,TASKOPRU,KOCANLI,Kastamonu,Taskopru,28,8,2013,15:55,Dogal Yildirim,Dogal/Yildirim,3,0,3,27,34 13 35,41 19 11,34.22638889,41.31972222
9596,9596,KASTAMONU,TASKOPRU,KOCANLI,Kastamonu,Taskopru,25,3,2014,19:00,Mechul,Mechul,2,0,2,22,34 08 56,45 15 15,34.14888889,45.25416667
9597,9597,KASTAMONU,TASKOPRU,KOCANLI,Kastamonu,Taskopru,29,7,2014,23:00,Mechul,Mechul,0.02,0,0.02,20,34 15 16,41 12 16,34.25444444,41.20444444
9598,9598,KASTAMONU,TASKOPRU,KOCANLI,Kastamonu,Tosya,25,4,2015,14:50,Mechul,Mechul,0.4,0,0.4,19,34 08 59,41 10 37,34.14972222,41.17694444
9599,9599,KASTAMONU,TASKOPRU,KOCANLI,Kastamonu,Taskopru,20,9,2017,14:00,Dogal Yildirim,Dogal/Yildirim,0.04,0,0.04,31,34 15 18,41 13 22,34.255,41.22277778
9600,9600,KASTAMONU,TASKOPRU,KOCANLI,Kastamonu,Taskopru,20,9,2017,15:10,Dogal Yildirim,Dogal/Yildirim,0.03,0,0.03,31,34 12 17,41 15 29,34.20472222,41.25805556
9601,9601,KASTAMONU,TASKOPRU,OBRUCAK,Kastamonu,Taskopru,13,9,2017,08:30,Dogal Yildirim,Dogal/Yildirim,3,0,3,24,33 57 16,41 23 05,33.95444444,41.38472222
9602,9602,KASTAMONU,TASKOPRU,SARAYCIK,Kastamonu,Taskopru,10,11,2014,12:30,Mechul,Mechul,0.03,0,0.03,17,34 18 26,41 22 45,34.30722222,41.37916667
9603,9603,KASTAMONU,TASKOPRU,SARIKAYA,Kastamonu,Taskopru,28,4,2013,14:45,Mechul,-,0.05,0,0.05,29,34 08 51,41 21 19,34.1475,41.35527778
9604,9604,KASTAMONU,TASKOPRU,SARIKAYA,Kastamonu,Taskopru,9,7,2013,13:15,Mechul,Mechul,0.01,0,0.01,28,34 14 18,41 44 18,34.23833333,41.73833333
9605,9605,KASTAMONU,TASKOPRU,SARIKAYA,Kastamonu,Taskopru,29,7,2013,16:00,Mechul,Mechul,0.01,0,0.01,29,34 16 48,41 39 56,34.28,41.66555556
9606,9606,KASTAMONU,TASKOPRU,SARIKAYA,Kastamonu,Taskopru,6,8,2013,12:00,Mechul,Mechul,0.01,0,0.01,25,34 15 45,41 43 54,34.2625,41.73166667
9607,9607,KASTAMONU,TASKOPRU,SARIKAYA,Kastamonu,Taskopru,11,10,2013,19:00,Mechul,Mechul,0.01,0,0.01,13,34 13 41,41 37 54,34.22805556,41.63166667
9608,9608,KASTAMONU,TASKOPRU,SARIKAYA,Kastamonu,Taskopru,23,8,2014,14:00,Dogal Yildirim,Dogal/Yildirim,0.02,0,0.02,29,34 15 48,41 43 38,34.26333333,41.72722222
9609,9609,KASTAMONU,TASKOPRU,SARIKAYA,Kastamonu,Taskopru,15,4,2016,16:00,Dogal Yildirim,Dogal/Yildirim,0.02,0,0.02,12,34 15 08,41 42 41,34.25222222,41.71138889
9610,9610,KASTAMONU,TASKOPRU,SARIKAYA,Kastamonu,Taskopru,26,7,2016,14:00,Mechul,Mechul,0.03,0,0.03,26,34 13 57,41 36 33,34.2325,41.60916667
9611,9611,KASTAMONU,TASKOPRU,SARIKAYA,Kastamonu,Taskopru,22,11,2016,15:00,Mechul,Mechul,0.1,0,0.1,10,34 17 56,41 42 33,34.29888889,41.70916667
9612,9612,KASTAMONU,TASKOPRU,SARIKAYA,Kastamonu,Taskopru,5,10,2017,06:00,Dogal Yildirim,Dogal/Yildirim,0.04,0,0.04,6,34 15 43,41 42 48,34.26194444,41.71333333
9613,9613,KASTAMONU,TASKOPRU,TASKOPRU,Kastamonu,Taskopru,29,8,2013,10:30,Ihmal Dikkatsizlik,Aniz,1,0,1,27,34 13 38,41 33 15,34.22722222,41.55416667
9614,9614,KASTAMONU,TASKOPRU,TASKOPRU,Kastamonu,Taskopru,7,8,2014,12:30,Mechul,Mechul,0.01,0,0.01,31,34 01 59,41 38 16,34.03305556,41.63777778
9615,9615,KASTAMONU,TASKOPRU,TASKOPRU,Kastamonu,Taskopru,26,6,2016,18:15,Mechul,Mechul,0.1,0,0.1,29,34 06 35,41 38 02,34.10972222,41.63388889
9616,9616,KASTAMONU,TASKOPRU,TASKOPRU,Kastamonu,Taskopru,7,8,2017,17:20,Dogal Yildirim,Dogal/Yildirim,0.5,0.5,1,30,34 08 37,41 31 29,34.14361111,41.52472222
9617,9617,KASTAMONU,TASKOPRU,TEKCAM,Kastamonu,Taskopru,31,3,2013,16:45,Kaza,Elektrik,0.01,0,0.01,22,42 19 52,41 25 53,42.33111111,41.43138889
9618,9618,KASTAMONU,TASKOPRU,TEKCAM,Kastamonu,Taskopru,1,4,2014,15:20,Mechul,Mechul,1,0,1,20,34 23 21,41 26 33,34.38916667,41.4425
